category_key,category_label,keyword,fortune,mention_growth,negative_mentions,total_mentions,news1_title,news1_url,news2_title,news2_url,news3_title,news3_url
beauty,뷰티・화장품,톤업 선크림,얼굴빛이 스스로 밝아지는 상이로다. 백탁만 앞세우면 실사용 후기에서 발목 잡히니 조심하시게. 다양한 피부톤 후기를 쌓는 자에게 긴 신뢰가 따르리라.,언급량 132%,부정 언급 9건,총 언급 812건,톤업 선크림 신제품 잇달아 출시,https://example.com/news/1,백탁 현상 후기 논란에 소비자 주의보,https://example.com/news/2,,
beauty,뷰티・화장품,무기자차 선크림,자연의 방패가 피부를 감싸는 상이로다. 발림성을 소홀히 하면 아무리 순해도 외면받으니 조심하시게. 사용감을 꾸준히 다듬는 자에게 단골이 따르리라.,언급량 118%,부정 언급 11건,총 언급 690건,"무기자차 시장, 민감성 피부층 겨냥 확대",https://example.com/news/3,백탁·밀림 현상 개선 신제형 출시 이어져,https://example.com/news/4,,
beauty,뷰티・화장품,컬러체인징 립밤,입술 위에서 색이 스스로 변하는 재미난 상이로다. 재미만 앞세우고 보습을 놓치면 금세 외면받으니 조심하시게. 지속력을 함께 갖춘 자에게 꾸준한 사랑이 따르리라.,언급량 96%,부정 언급 4건,총 언급 421건,"컬러체인징 립밤, 2030 사이 입소문",https://example.com/news/5,,,,
beauty,뷰티・화장품,멀티스틱 메이크업,한 자루로 여러 얼굴을 그리는 상이로다. 편리함만 강조하면 발색력 논란을 피하기 어려우니 조심하시게. 색과 지속력을 함께 챙기는 자에게 재구매가 따르리라.,언급량 104%,부정 언급 7건,총 언급 533건,멀티스틱 하나로 끝내는 간편 메이크업 트렌드,https://example.com/news/6,"발색력 논란, 색소 함량 표기 강화 요구",https://example.com/news/7,,
beauty,뷰티・화장품,저자극 바디워시,온몸을 감싸는 기운이 순해지는 상이로다. 순함만 강조하면 세정력을 의심받으니 균형을 잡으시게. 두 가지를 함께 증명하는 자에게 오랜 단골이 따르리라.,언급량 105%,부정 언급 7건,총 언급 588건,"약산성 바디워시, 민감 피부층 겨냥 신제품",https://example.com/news/8,저자극 표기 바디워시 성분 전수조사 결과,https://example.com/news/9,,
beauty,뷰티・화장품,탈모 케어 샴푸,머리카락 한 올에 근심이 서리는 상이로다. 임상 결과 없이 효과를 말하면 큰 구설에 오르니 조심하시게. 꾸준함을 강조하는 자에게 긴 신뢰가 따르리라.,언급량 97%,부정 언급 21건,총 언급 654건,"탈모 케어 시장, 중년 남성 넘어 2030으로 확대",https://example.com/news/10,탈모 샴푸 효능 광고 실증자료 미비 적발,https://example.com/news/11,,
beauty,뷰티・화장품,왁싱・제모 디바이스,짧은 순간에 큰 변화를 부르는 기운이로다. 안전 인증 없이 판매하면 큰 화를 부르니 각별히 조심하시게. 사용법을 자세히 안내하는 자에게 안심이 따르리라.,언급량 118%,부정 언급 22건,총 언급 702건,"가정용 제모 디바이스, 화상 관련 안전주의보",https://example.com/news/12,"제모 디바이스 시장, 홈뷰티 트렌드 타고 성장",https://example.com/news/13,,
beauty,뷰티・화장품,맞춤형 파운데이션,저마다 다른 얼굴에 각기 다른 처방을 내리는 상이로다. 데이터 없이 맞춤이라 칭하면 헛된 약속이 되니 조심하시게. 정직한 진단이 곧 브랜드의 무기가 되리라.,언급량 134%,부정 언급 5건,총 언급 601건,맞춤형 화장품 조제관리사 시장 성장세,https://example.com/news/14,AI 피부진단 맞춤 파운데이션 정확도 논란,https://example.com/news/15,,
beauty,뷰티・화장품,홈 필링 디바이스,집 안에서 피부를 새로 다스리는 상이로다. 자극 강도를 소홀히 하면 오히려 피부를 상하게 하니 조심하시게. 안전 사용법을 널리 알리는 자에게 신뢰가 따르리라.,언급량 88%,부정 언급 16건,총 언급 447건,"홈 필링 디바이스, 자가관리 트렌드 확산",https://example.com/news/16,,,,
beauty,뷰티・화장품,비건 마스카라,동물의 기운을 멀리하고 눈매를 살리는 상이로다. 인증 없이 비건이라 칭하면 구설에 오르니 조심하시게. 진짜 인증을 갖춘 자에게 긴 신뢰가 따르리라.,언급량 91%,부정 언급 6건,총 언급 398건,"비건 인증 마스카라, 글로벌 브랜드 잇달아 출시",https://example.com/news/17,,,,
ingredient,원료・성분,저분자 히알루론산,작은 것이 깊이 스며드는 상이로다. 분자 크기만 앞세우면 실제 체감 효과를 의심받으니 조심하시게. 사용감을 진솔하게 알리는 자에게 재구매가 따르리라.,언급량 143%,부정 언급 8건,총 언급 976건,"저분자 히알루론산 함유 제품, 앰플 시장서 강세",https://example.com/news/18,히알루론산 분자량 표기 기준 놓고 업계 논의,https://example.com/news/19,,
