category_key,category_label,keyword,fortune,mention_growth,negative_mentions,total_mentions,tarotImage,news1_title,news1_url,news2_title,news2_url
beauty,뷰티・화장품,톤업 선크림,얼굴빛이 스스로 밝아지는 상이로다. 백탁만 앞세우면 실사용 후기에서 발목 잡히니 조심하시게. 다양한 피부톤 후기를 쌓는 자에게 긴 신뢰가 따르리라.,언급량 132%,부정 언급 9건,총 언급 812건,images/01-beauty-tone-up-sunscreen.png,"에스쁘아, 워터 스플래쉬 선크림 4종 리뉴얼 출시",https://www.cosinkorea.com/news/section_list_all.html?sec_no=318,"디오프러스, 올리브영 입점···PDRN·톤업 선크림 2종 출시",https://www.cosinkorea.com/news/section_list_all.html?sec_no=318
beauty,뷰티・화장품,탈모 케어 샴푸,머리카락 한 올에 근심이 서리는 상이로다. 임상 결과 없이 효과를 말하면 큰 구설에 오르니 조심하시게. 꾸준함을 강조하는 자에게 긴 신뢰가 따르리라.,언급량 97%,부정 언급 21건,총 언급 654건,images/06-beauty-hair-care-shampoo.png,"탈모 케어 시장, 중년 남성 넘어 2030으로 확대",https://example.com/news/placeholder-1,탈모 샴푸 효능 광고 실증자료 미비 적발,https://example.com/news/placeholder-2
beauty,뷰티・화장품,비건 마스카라,동물의 기운을 멀리하고 눈매를 살리는 상이로다. 인증 없이 비건이라 칭하면 구설에 오르니 조심하시게. 진짜 인증을 갖춘 자에게 긴 신뢰가 따르리라.,언급량 91%,부정 언급 6건,총 언급 398건,images/10-beauty-vegan-mascara.png,"비건 인증 마스카라, 글로벌 브랜드 잇달아 출시",https://example.com/news/placeholder-3,,
ingredient,원료・성분,PDRN,연어알에서 온 기운이 피부에 생기를 더하는 형국이로다. 원산지를 속이면 반드시 들통나니 정직함을 지님이 곧 복이니라. 재구매율이 곧 브랜드의 진짜 성적표가 되리라.,언급량 197%,부정 언급 12건,"총 언급 1,065건",images/13-ingredient-pdrn.png,"PDRN 함유 앰플, 판매량 급증",https://example.com/news/placeholder-4,"일부 제품, PDRN 함량 과장 표기 지적",https://example.com/news/placeholder-5
ingredient,원료・성분,마이크로바이옴 원료,보이지 않는 균의 조화가 피부를 다스리는 형국이로다. 과학적 근거 없이 유행만 좇으면 신뢰를 잃으리니 조심하시게. 임상 자료 하나를 갖춤이 백 마디 광고보다 나으리라.,언급량 108%,부정 언급 7건,총 언급 842건,images/12-ingredient-microbiome-ingredient.png,마이크로바이옴 화장품 시장 규모 첫 1조 돌파,https://example.com/news/placeholder-6,,
ingredient,원료・성분,비건 콜라겐,동물의 기운을 멀리하니 하늘이 대신 복을 내리는 상이로다. 인증 없이 비건이라 칭하면 큰 구설수에 휘말리니 조심하시게. 진심을 담은 라벨 하나가 긴 신뢰를 부르리라.,언급량 132%,부정 언급 15건,총 언급 640건,images/15-ingredient-vegan-collagen.png,"비건 인증 화장품, 젊은 세대 선호도 상승",https://example.com/news/placeholder-7,"비건 표기 허위 논란, 인증 기관 조사 착수",https://example.com/news/placeholder-8
economy,경제・산업동향,M&A 인수합병,두 기운이 하나로 합쳐지는 형국이로다. 성급한 통합은 조직의 균열을 부르니 신중하시게. 서로의 강점을 살리는 자에게 큰 시너지가 따르리라.,언급량 76%,부정 언급 8건,총 언급 389건,images/26-economy-mergers-and-acquisitions.png,"뷰티 대기업, 중소 브랜드 잇단 인수",https://example.com/news/placeholder-9,,
economy,경제・산업동향,ODM 수주 확대,남의 일을 대신 맡아 크게 흥하는 대길의 기운이로다. 물량만 좇다 품질을 놓치면 오래가지 못하니 유념하시게. 작은 브랜드 하나를 정성으로 키우는 것이 결국 큰 복이 되리라.,언급량 178%,부정 언급 3건,총 언급 887건,images/21-economy-odm-manufacturing-boom.png,"국내 ODM 기업, 해외 신규 브랜드 대량 수주",https://example.com/news/placeholder-10,"ODM 업계 실적 호조, 상반기 최대 매출",https://example.com/news/placeholder-11
economy,경제・산업동향,리필 스테이션 확산,그릇을 비우고 다시 채우는 순환의 기운이로다. 편의만 앞세우고 위생을 놓치면 신뢰가 무너지니 조심하시게. 꼼꼼한 관리가 곧 브랜드의 얼굴이 되리라.,언급량 88%,부정 언급 6건,총 언급 512건,images/22-economy-refill-station-expansion.png,"화장품 리필 스테이션, 매장 확대",https://example.com/news/placeholder-12,,
global,해외,K뷰티 역직구,바다 건너 기운이 크게 뻗어나가는 대길의 상이로다. 물류와 배송이 늦어지면 그간 쌓은 신뢰가 무너지니 유의하시게. 현지 언어로 전하는 진심 한마디가 만리 밖 마음을 움직이리라.,언급량 163%,부정 언급 5건,총 언급 991건,images/31-global-k-beauty-cross-border-sales.png,"K뷰티 역직구 거래액, 상반기 최고치 경신",https://example.com/news/placeholder-13,"동남아 이커머스, K뷰티 전용관 신설",https://example.com/news/placeholder-14
global,해외,미국 클린뷰티 규제,먼 나라의 새 법이 조용히 발목을 잡을 수 있는 때로다. 성분 목록을 미리 손보지 않으면 통관에서 막히니 조심하시게. 규정을 앞서 챙기는 자가 시장을 선점하리라.,언급량 102%,부정 언급 24건,"총 언급 1,088건",images/33-global-us-clean-beauty-regulation.png,"FDA, MoCRA 시행 3년 성과 발표",https://example.com/news/placeholder-15,,
global,해외,할랄 인증 화장품,종교의 율법을 따르는 기운이 시장을 넓히는 상이로다. 인증 없이 표기만 하면 큰 신뢰를 잃으니 조심하시게. 정식 인증을 갖춘 자에게 이슬람 시장이 열리리라.,언급량 73%,부정 언급 5건,총 언급 298건,images/40-global-halal-certified-cosmetics.png,"할랄 인증 화장품, 동남아·중동 수요 증가",https://example.com/news/placeholder-16,,
marketing,마케팅・브랜딩,인플루언서 콜라보,"사람과 사람이 만나 인연을 맺는 상이나, 그 인연이 언제 화로 바뀔지 알 수 없느니라. 검증 없이 손을 잡으면 반드시 후회가 따르니 신중하시게. 오래 함께할 사람을 알아보는 눈이 곧 복이니라.",언급량 64%,부정 언급 31건,"총 언급 1,203건",images/45-marketing-influencer-collaboration.png,"뷰티 브랜드, 신규 인플루언서와 대규모 협업",https://example.com/news/placeholder-17,"협업 인플루언서 과거 발언 논란, 캠페인 중단",https://example.com/news/placeholder-18
marketing,마케팅・브랜딩,AI 마케팅,기계의 기운이 사람의 감을 대신하려는 형국이로다. 데이터만 믿고 사람의 마음을 놓치면 낭패를 볼 것이니 조심하시게. 기술과 감성을 함께 쓰는 자가 결국 승리하리라.,언급량 203%,부정 언급 13건,"총 언급 1,320건",images/44-marketing-ai-marketing.png,"생성형 AI, 화장품 골라주는 시대 개막",https://example.com/news/placeholder-19,"AI로 화장품 개발 혁신, 맞춤형 큐레이션까지",https://example.com/news/placeholder-20
marketing,마케팅・브랜딩,브랜드 스토리텔링,말 한마디로 마음을 사는 형국이로다. 꾸며낸 이야기는 결국 들통나 신뢰를 잃으니 조심하시게. 진짜 경험에서 나온 이야기가 오래도록 마음에 남으리라.,언급량 83%,부정 언급 3건,총 언급 355건,images/50-marketing-brand-storytelling.png,"브랜드 스토리텔링, 창업 서사 앞세운 뷰티 브랜드 주목",https://example.com/news/placeholder-21,,
